alg,problema,delta_med,taxa_vit,n_pares,p_wilcoxon_proposta
θ-DEA-DP,ZDT4,,0.0,30,
θ-DEA-DP,ZDT6,,0.0,30,
MMRAEA,BBOB_F1,0.2919012253390514,1.0,30,1.862645149230957e-09
MMRAEA,BBOB_F17,-0.004606159000332241,0.3333333333333333,30,0.19092952087521553
MMRAEA,BBOB_F22,0.7936153154580333,1.0,30,1.862645149230957e-09
MMRAEA,BBOB_F37,0.4410030241531959,1.0,30,1.862645149230957e-09
MMRAEA,BBOB_F49,0.3601433421476783,1.0,30,1.862645149230957e-09
MMRAEA,BBOB_F5,0.575652303844212,1.0,30,1.862645149230957e-09
MMRAEA,BBOB_F55,2.279577051092937,0.9666666666666667,30,5.587935447692871e-09
MMRAEA,DDMOP7,-0.03768065764184386,0.2,30,9.858854320735659e-05
MMRAEA,DTLZ1,,0.0,30,
MMRAEA,DTLZ2,2.369231075586373,1.0,30,1.862645149230957e-09
MMRAEA,DTLZ3,,0.0,30,
MMRAEA,DTLZ4,-0.19808089779979046,0.4,30,0.19807579927146435
MMRAEA,DTLZ7,232.64085187412536,0.2,30,
MMRAEA,ESTOQUE40,0.12264586461927829,1.0,27,1.4901161193847656e-08
MMRAEA,MMF1,0.009983797842756822,0.6,30,0.2710056286305189
MMRAEA,MMF11_L,0.024903080480912027,0.7,30,0.034536734223365784
MMRAEA,MMF16_20,0.038179420477186615,0.9666666666666667,30,1.30385160446167e-08
MMRAEA,MMF4,0.02487106677257505,0.7333333333333333,30,0.001340603455901146
MMRAEA,RE21,0.11857770978070743,1.0,28,7.450580596923828e-09
MMRAEA,WFG1,-0.13851402946458546,0.1,30,7.056817412376404e-05
MMRAEA,WFG2,-0.15878562785454825,0.0,30,1.862645149230957e-09
MMRAEA,WFG4,-0.026163732937524286,0.4,30,0.019660815596580505
MMRAEA,WFG5,0.3618896419459653,1.0,30,1.862645149230957e-09
MMRAEA,WFG9,0.052131405540418285,0.5333333333333333,30,0.4771064817905426
MMRAEA,ZDT1,6.022978457117996,0.9,30,
MMRAEA,ZDT3,1.137890424067996,0.9666666666666667,30,1.30385160446167e-08
MMRAEA,ZDT4,,0.0,30,
MMRAEA,ZDT6,,0.0,30,
LBN-MOBO,BBOB_F1,-0.6998021130993421,0.0,29,3.725290298461914e-09
LBN-MOBO,BBOB_F17,-0.11741424232972855,0.0,30,1.862645149230957e-09
LBN-MOBO,BBOB_F22,-1.0,0.0,29,1.127254858202685e-06
LBN-MOBO,BBOB_F37,-0.7204142918523222,0.0,30,1.862645149230957e-09
LBN-MOBO,BBOB_F49,-0.5426250594204188,0.0,29,3.725290298461914e-09
LBN-MOBO,BBOB_F5,-0.7860369479381986,0.0,30,1.862645149230957e-09
LBN-MOBO,BBOB_F55,-0.9167905253745795,0.0,29,3.725290298461914e-09
