prob,tag,it,i,j,mapa,rel,exato
MMF1,s42,4,3,6,naive,0.3586843196682503,False
MMF1,s42,4,3,8,decl,4.148253211529461e-14,False
MMF1,s42,4,3,8,naive,0.05054805991456071,False
MMF1,s42,4,6,8,decl,4.167369585776314e-14,False
MMF1,s42,4,6,8,naive,0.3245411871252389,False
MMF1,s42,5,0,4,decl,3.566695225118132e-14,False
MMF1,s42,5,0,4,naive,0.3328856646497767,False
MMF1,s42,5,0,7,decl,5.7288887035576216e-15,False
MMF1,s42,5,0,7,naive,0.312815080404473,False
MMF1,s42,5,1,9,decl,8.516956826511247e-14,False
MMF1,s42,5,1,9,naive,0.02113798881114007,False
MMF1,s42,5,4,7,decl,2.9938063547623875e-14,False
MMF1,s42,5,4,7,naive,0.02920696259911697,False
MMF1,s42,7,1,9,decl,9.500829534366593e-14,False
MMF1,s42,7,1,9,naive,3.794267454469382e-11,False
MMF1,s42,10,6,9,decl,3.7784475834441755e-15,False
MMF1,s42,10,6,9,naive,0.009883001556207567,False
MMF1,s42,14,3,8,decl,3.793118351984618e-13,False
MMF1,s42,14,3,8,naive,3.793118351984618e-13,False
MMF1,s42,14,4,9,decl,9.556127095084669e-14,False
MMF1,s42,14,4,9,naive,9.556127095084669e-14,False
MMF1,s42,26,3,6,decl,2.360163071205559e-13,False
MMF1,s42,26,3,6,naive,2.360163071205559e-13,False
MMF1,s42,35,3,9,decl,3.344957881967081e-13,False
MMF1,s42,35,3,9,naive,1.5994516162329233e-11,False
MMF11_L,s42,1,6,7,decl,0.0,True
MMF11_L,s42,1,6,7,naive,0.0,True
MMF11_L,s42,1,8,9,decl,1.7358656558638815e-09,False
MMF11_L,s42,1,8,9,naive,1.7358656558638815e-09,False
MMF11_L,s42,2,0,5,decl,3.8750332620402415e-13,False
MMF11_L,s42,2,0,5,naive,3.8750332620402415e-13,False
MMF11_L,s42,2,0,9,decl,6.268759482771808e-13,False
MMF11_L,s42,2,0,9,naive,6.268759482771808e-13,False
MMF11_L,s42,2,1,3,decl,0.0,True
MMF11_L,s42,2,1,3,naive,0.0,True
MMF11_L,s42,2,1,4,decl,0.0,True
MMF11_L,s42,2,1,4,naive,0.0,True
MMF11_L,s42,2,1,8,decl,1.864675519058242e-13,False
MMF11_L,s42,2,1,8,naive,1.864675519058242e-13,False
MMF11_L,s42,2,3,4,decl,0.0,True
MMF11_L,s42,2,3,4,naive,0.0,True
MMF11_L,s42,2,3,8,decl,1.864675519058242e-13,False
MMF11_L,s42,2,3,8,naive,1.864675519058242e-13,False
MMF11_L,s42,2,4,8,decl,1.864675519058242e-13,False
MMF11_L,s42,2,4,8,naive,1.864675519058242e-13,False
MMF11_L,s42,2,5,9,decl,1.014379274480962e-12,False
MMF11_L,s42,2,5,9,naive,1.014379274480962e-12,False
MMF11_L,s42,3,4,6,decl,0.0,True
MMF11_L,s42,3,4,6,naive,0.5241850231919273,False
MMF11_L,s42,3,4,7,decl,3.204158208046813e-13,False
MMF11_L,s42,3,4,7,naive,0.09871073519746189,False
MMF11_L,s42,3,6,7,decl,3.204158208046813e-13,False
MMF11_L,s42,3,6,7,naive,0.4720729566080894,False
MMF11_L,s42,4,0,1,decl,0.0,True
MMF11_L,s42,4,0,1,naive,0.11250754268425439,False
MMF11_L,s42,4,0,7,decl,1.5589207227506851e-13,False
MMF11_L,s42,4,0,7,naive,0.04711870500387846,False
MMF11_L,s42,4,1,7,decl,1.5589207227506851e-13,False
MMF11_L,s42,4,1,7,naive,0.06862222820801837,False
MMF11_L,s42,5,0,3,decl,9.740462010593277e-13,False
MMF11_L,s42,5,0,3,naive,0.6050981067816288,False
MMF11_L,s42,5,0,8,decl,1.7494127796509249e-12,False
MMF11_L,s42,5,0,8,naive,0.13352078114044777,False
MMF11_L,s42,5,0,9,decl,1.4741855970094716e-12,False
MMF11_L,s42,5,0,9,naive,1.7494127796509249e-12,False
MMF11_L,s42,5,3,8,decl,7.753665785923525e-13,False
MMF11_L,s42,5,3,8,naive,0.5442453960544656,False
MMF11_L,s42,5,3,9,decl,2.4482317980673634e-12,False
MMF11_L,s42,5,3,9,naive,0.6050981067809379,False
MMF11_L,s42,5,8,9,decl,3.2235983766578174e-12,False
MMF11_L,s42,5,8,9,naive,0.13352078113893195,False
MMF11_L,s42,6,1,3,decl,2.1964784190536375e-12,False
MMF11_L,s42,6,1,3,naive,2.7320224798318525e-09,False
