prob,ger,obj,noise,outsc,sigma,cob,wape
BBOB_F1,144,1,0.0001,1.3533698304236779,3.906827926635742,0.9975,0.019025936249080007
BBOB_F1,146,0,0.0001,1.2704981786954368,3.8645029067993164,0.995,0.018907952333348174
BBOB_F1,146,1,0.0001,1.4288499768030776,3.882131814956665,0.9975,0.01987766111199035
BBOB_F1,148,0,0.0001,1.3328136599738716,3.7976317405700684,0.995,0.01859556010009207
BBOB_F1,148,1,0.0001,1.3888885821776853,3.8290610313415527,0.9975,0.01864341206595138
BBOB_F1,150,0,0.0001,1.33342956049381,3.8452060222625732,0.995,0.019623292928262603
BBOB_F1,150,1,0.0001,1.3387028636139893,3.8219852447509766,0.9975,0.018603202746444836
BBOB_F1,152,0,0.0001,1.2822753274062964,3.828841209411621,0.995,0.018739663944189557
BBOB_F1,152,1,0.0001,1.2282988161623187,3.8393654823303223,0.9975,0.01922297092874085
BBOB_F1,154,0,0.0001,1.3380954447314286,3.7550134658813477,0.995,0.01830795783109289
BBOB_F1,154,1,0.0001,1.659572285285168,3.7346291542053223,0.9985,0.017640899458253142
BBOB_F1,156,0,0.0001,1.3614214582258384,3.733095169067383,0.9955,0.018366345958042863
BBOB_F1,156,1,0.0001,1.4288429959182694,3.7285518646240234,0.9985,0.01795130742719197
BBOB_F1,158,0,0.0001,1.3781142211122992,3.690990447998047,0.995,0.01807852439761373
BBOB_F1,158,1,0.0001,1.5411362165844322,3.772188425064087,0.9975,0.019599202517869813
BBOB_F1,160,0,0.0001,1.3633391188691735,3.6926612854003906,0.995,0.01815017197187
BBOB_F1,160,1,0.0001,1.4607760592276766,3.6733131408691406,0.998,0.017839978469538928
BBOB_F1,162,0,0.0001,1.4066087423695803,3.6430394649505615,0.9955,0.017795170376365348
BBOB_F1,162,1,0.0001,1.5868291763379263,3.721601724624634,0.9975,0.01935552047144207
BBOB_F1,164,0,0.0001,1.4717829953700885,3.577394485473633,0.9955,0.01744160112595785
BBOB_F1,164,1,0.0001,1.6008176386113742,3.7018301486968994,0.9975,0.019300121606149488
BBOB_F1,166,0,0.0001,1.3117784030176598,3.632678270339966,0.995,0.01811032351027621
BBOB_F1,166,1,0.0001,1.617615394665453,3.6881179809570312,0.9975,0.019269233026805537
BBOB_F1,168,0,0.0001,1.3378634781308187,3.5758633613586426,0.995,0.018492847784709304
BBOB_F1,168,1,0.0001,1.6283545811864615,3.6627860069274902,0.9975,0.0192404528125713
BBOB_F1,170,0,0.0001,1.3372361691583436,3.607261896133423,0.995,0.018021026383749986
BBOB_F1,170,1,0.0001,1.3669025084616295,3.619245767593384,0.9975,0.017917725763539397
BBOB_F1,172,0,0.0001,1.5226811286695126,3.5381574630737305,0.9955,0.017204630967381496
BBOB_F1,172,1,0.0001,1.6283206082706503,3.613997220993042,0.9975,0.019004120761009272
BBOB_F1,174,0,0.0001,1.6311487091229409,3.4769468307495117,0.996,0.016737989665418722
BBOB_F1,174,1,0.0001,1.7245008265459214,3.4494338035583496,0.9975,0.017688127779460446
BBOB_F1,176,0,0.0001,1.539118266165982,3.4739410877227783,0.9955,0.016985068767725042
BBOB_F1,176,1,0.0001,1.6067523613758565,3.468714714050293,0.998,0.0168796645415459
BBOB_F1,178,0,0.0001,1.5436997201927203,3.491056442260742,0.9955,0.017187542934732576
BBOB_F1,178,1,0.0001,1.503447580120341,3.5439324378967285,0.9975,0.017914298530352455
BBOB_F1,180,0,0.0001,1.5763594691222582,3.439145088195801,0.9955,0.016896573417094246
BBOB_F1,180,1,0.0001,1.748063917423535,3.398573398590088,0.998,0.01636700673692551
BBOB_F1,182,0,0.0001,1.627005978389655,3.3896141052246094,0.9955,0.016588497975248688
BBOB_F1,182,1,0.0001,1.6071929302643002,3.429281711578369,0.998,0.01666533196914493
BBOB_F1,184,0,0.0001,1.619273566902644,3.3875515460968018,0.9955,0.016798503799883718
BBOB_F1,184,1,0.0001,1.6384973621078336,3.3946337699890137,0.9975,0.016551625442327817
BBOB_F1,186,0,0.0001,1.606346155778866,3.321469306945801,0.995,0.016589155604986507
BBOB_F1,186,1,0.0001,1.910005509474384,3.269118070602417,0.9985,0.015716178474877305
BBOB_F1,188,0,0.0001,1.6740603773730478,3.3391776084899902,0.995,0.016366012313025938
BBOB_F1,188,1,0.0001,1.8894414735230831,3.479900360107422,0.997,0.01858833599319687
BBOB_F1,190,0,0.0001,1.2766251651609912,3.4921669960021973,0.9945,0.018459139363839645
BBOB_F1,190,1,0.0001,1.9041238936994638,3.45615816116333,0.9975,0.018573724674400334
BBOB_F1,192,0,0.0001,1.6766633611578448,3.3045992851257324,0.9955,0.016172388375157398
BBOB_F1,192,1,0.0001,2.279897691346058,3.447680950164795,0.998,0.01712555105243607
BBOB_F1,194,0,0.0001,1.456366658482235,3.375556468963623,0.995,0.017192199302419775
BBOB_F1,194,1,0.0001,1.7464952426678064,3.3698601722717285,0.9975,0.01690929781412826
BBOB_F1,196,0,0.0001,1.6924932630802108,3.2707605361938477,0.9955,0.01606095166779275
BBOB_F1,196,1,0.0001,1.3890643258139297,3.4201552867889404,0.9975,0.017658678338377486
BBOB_F1,198,0,0.0001,1.6365528579431685,3.2936596870422363,0.9955,0.016175945316680797
