label,problema,tier,dist,g,frac,n_pop,hv_sur,igdp_sur,hv_real,igdp_real,sig_med,rmse,wape
BBOB_F37,BBOB_F37,main,lhs,543,0.6670761670761671,50,2.4016428163913353,0.16241520158564196,0.573368320671828,0.25275150469112895,6.535171985626221,568.058601937424,0.8732504166623111
BBOB_F37,BBOB_F37,main,lhs,576,0.7076167076167076,50,2.39629132608572,0.16155837525591948,0.572045501661151,0.24809392376259154,6.487575054168701,566.2355994564394,0.8708233942726693
BBOB_F37,BBOB_F37,main,lhs,610,0.7493857493857494,50,2.3915841486842004,0.16155837525591948,0.5597911128612476,0.25146116361509957,6.4513983726501465,562.1523529889046,0.8697983566517912
BBOB_F37,BBOB_F37,main,lhs,644,0.7911547911547911,50,2.3999759114523,0.161898965216038,0.5665357517441552,0.2519409482541953,6.438082695007324,566.0358266237631,0.8701898035935319
BBOB_F37,BBOB_F37,main,lhs,678,0.8329238329238329,50,2.409186123781221,0.161898965216038,0.5707087984535896,0.24866459160791268,6.357901096343994,566.791121810538,0.8665364826450426
BBOB_F37,BBOB_F37,main,lhs,712,0.8746928746928747,50,2.4101398723237675,0.161898965216038,0.5745996661755133,0.24987693486845883,6.322072982788086,570.5115219489411,0.8690972357489113
BBOB_F37,BBOB_F37,main,lhs,746,0.9164619164619164,47,2.4091155391528405,0.16111407079047846,0.5784547734634097,0.24714530733120632,6.305747985839844,563.661018227208,0.8660904810766644
BBOB_F37,BBOB_F37,main,lhs,780,0.9582309582309583,49,2.4089570489124674,0.16111407079047846,0.5718899491682122,0.24746807220902753,6.273870944976807,567.3264633530283,0.8646887722173654
BBOB_F37,BBOB_F37,main,lhs,814,1.0,50,2.4109178108661875,0.16111407079047846,0.5600398075584219,0.25442295378937363,6.292469024658203,570.8804953090116,0.8672385249523055
BBOB_F49,BBOB_F49,main,lhs,1,0.001088139281828074,50,0.40145357442788043,0.6007996661297159,0.24772593327462503,0.6981412914478998,14.809758186340332,588.9979531032782,0.33921956324784364
BBOB_F49,BBOB_F49,main,lhs,39,0.042437431991294884,24,1.5133360420255062,0.005302405372581875,0.1672813991849743,0.7791384147685136,16.428237915039062,1019.9851400864641,1.679030938794946
