label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,I_max,I_frac,mono_ok,passo_ok,gps_le_folhas,sat_ok,n_inc_pos,n_inc_banda,n_inc_fora,incs_fora,n_gps_final,n_folhas_final,tp_final,cobertura_frac,prof_max,max_folhas,teto_folhas,early_any,early_idx,early_na_ultima,corte_antes_Imax,delta_unicos,delta_ultimo,pop_teto,pop_max,pop_min,pop_med_build,pop_med_final,pop_ger1,pop_ger50,pop_ultima,colapso_pre50,excede_teto,fit_total,busca_total,tempo_total_s
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,4,4,1.0,True,True,True,True,0,0,0,,"[1, 1, 1]","[3, 2, 2]","[120.0, 120.0, 120.0]",0.32345013477088946,2.0,3.0,3,False,,False,False,1.0,1.0,105,100,4,84.5,97.0,10,10,99,True,False,0.674166,6.7302409999999995,61.6287
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2, 1]","[2, 2, 3]","[681.0, 681.0, 222.0]",0.775330396475771,2.0,3.0,3,False,,False,False,1.0,1.0,105,93,9,65.0,78.0,9,9,79,True,False,6.595657,6.058196,64.6921
MMF1,off,small,lhs,MMF1,2,2,61,20,4,4,1.0,True,True,True,True,3,3,0,,"[3, 2]","[3, 2]","[61.0, 61.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,3,41.0,50.0,3,3,50,True,False,0.23613099999999998,2.200739,23.5358
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,4,4,1.0,True,True,True,True,3,3,0,,"[2, 3]","[2, 3]","[61.0, 61.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,3,31.0,50.0,3,3,50,True,False,0.185188,2.207473,23.8357
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,4,4,1.0,True,True,True,True,3,3,0,,"[2, 2, 2]","[2, 2, 2]","[619.0, 619.0, 619.0]",1.0,1.0,2.0,3,False,,False,False,1.0,1.0,105,105,6,68.0,93.0,6,6,93,True,False,13.701131,6.941452999999999,82.1077
MMF4,off,small,lhs,MMF4,2,2,61,20,4,4,1.0,True,True,True,True,4,4,0,,"[3, 3]","[3, 3]","[61.0, 61.0]",1.0,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,4,43.0,50.0,4,4,50,True,False,0.21879900000000002,2.105822,23.0457
WFG1,off,small,lhs,WFG1,22,2,681,220,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2]","[3, 3]","[453.0, 461.0]",0.671071953010279,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,3,10.5,49.0,3,3,50,True,False,0.25479,1.979706,23.4275
WFG2,off,small,lhs,WFG2,22,2,681,220,4,4,1.0,True,True,True,True,0,0,0,,"[1, 1]","[2, 2]","[299.0, 271.0]",0.4185022026431718,1.0,2.0,3,False,,False,False,1.0,1.0,50,50,3,42.0,36.0,3,3,34,True,False,0.20295200000000002,2.709535,22.2685
WFG4,off,small,lhs,WFG4,22,2,681,220,4,4,1.0,True,True,True,True,2,2,0,,"[2, 2]","[3, 3]","[440.0, 440.0]",0.6461086637298091,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,3,5.0,17.0,3,3,50,True,False,0.24193399999999998,1.023425,13.7805
WFG5,off,small,lhs,WFG5,22,2,681,220,4,4,1.0,True,True,True,True,0,0,0,,"[1, 1]","[3, 3]","[220.0, 220.0]",0.32305433186490456,2.0,3.0,3,False,,False,False,1.0,1.0,50,50,6,39.0,50.0,6,6,50,True,False,0.135867,2.595191,25.1219
