label,exp,tier,dist,problema,D,M,N,Nmin,obj,n_folhas,n_gps,folhas_sem_gp,n_nan,nan_share,mu_dist_nan,mu_dist_gp,pred_dist,casa_nan,dmax_nan,dmed_nan,casa_gp,dmed_gp,escala,tolabs,mu_dist_le_folhas_sem_gp
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,120,1,298,53,245,12388,0.6194,222,7610,272,0.9995963835970294,2.5868705051834695e-05,1.1482659489914226e-08,0.0007882291119285339,0.054199013859033585,2.9553232192993164,1.4185551435730304e-06,True
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,120,2,296,28,268,13230,0.6615,248,6767,274,1.0,7.360064273598255e-07,1.7530777940422126e-08,0.0004431314623338257,0.08725397340505414,3.1389307975769043,1.5066867717905552e-06,True
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,220,0,172,5,167,19767,0.98835,163,233,168,1.0,1.2243116209731397e-07,5.008019132723973e-08,0.0,2.115921028729143,2.966940402984619,1.424131369276438e-06,True
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,220,1,177,5,172,19657,0.98285,166,343,171,1.0,2.2974881286330628e-07,7.388256362261814e-08,0.0,2.8527693350230696,4.955193996429443,2.378493036303553e-06,True
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,300,0,121,59,62,8330,0.4165,57,11670,114,0.9998799519807923,3.846856088784989e-06,5.734557606551505e-09,8.568980291345329e-05,0.0025163239922401954,1.0,4.799999828719592e-07,True
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,300,1,124,14,110,19344,0.9672,110,656,124,1.0,2.355886845606392e-07,5.0067901824490946e-08,0.0,1.198662767864894,5.8949713706970215,2.8295862648519687e-06,True
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,100,0,352,28,324,18128,0.9064,293,1872,318,0.9998345101500441,1.7964553990168497e-05,8.3655641303082e-09,0.0016025641025641025,0.0008619044412738466,1.0,4.799999828719592e-07,True
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,100,1,379,7,372,18658,0.9329,365,1342,372,1.0,7.915496837540559e-06,3.6954879760742188e-06,0.0,4.214485168457031,269.0064697265625,0.0001291231019422412,True
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,120,0,10,10,0,0,0.0,0,19993,10,,,,0.0,0.12219667788279254,2.2766172885894775,1.0927763014478842e-06,True
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,120,1,12,12,0,0,0.0,0,19994,12,,,,5e-05,0.1131668511749096,2.2846994400024414,1.0966556374114589e-06,True
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,120,2,11,11,0,0,0.0,0,19989,11,,,,0.0,0.10405300147958385,2.620628595352173,1.2579016583913472e-06,True
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,200,0,8,8,0,0,0.0,0,19995,8,,,,0.0,0.18316263280400646,2.983360528945923,1.432013050362002e-06,True
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,200,1,7,7,0,0,0.0,0,19989,7,,,,0.0,0.19425002243877332,2.9900641441345215,1.435230728930037e-06,True
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,200,2,7,5,2,4542,0.2271,2,15448,7,1.0,4.6026752631433965e-08,4.6026752631433965e-08,0.0,0.19363170294534582,2.9951815605163574,1.4376870467458502e-06,True
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,220,0,7,2,5,13785,0.68925,5,6215,7,1.0,4.967053723881065e-08,4.080461346589459e-08,0.0,1.9159132044534295,2.878847122192383,1.3818465731674223e-06,True
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,220,1,8,2,6,14814,0.7407,6,5186,8,1.0,8.529630202147587e-08,4.438253542460302e-08,0.0,3.1998582673242506,4.921010971069336,2.362085069762543e-06,True
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,300,0,4,3,1,4989,0.24945,1,15011,4,1.0,1.7081090541992694e-08,1.7081090541992694e-08,6.661781360335754e-05,0.06255525279045104,0.9997218251228333,4.798664576810552e-07,True
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,300,1,5,2,3,12721,0.63605,3,7275,5,1.0,1.0264422689587605e-07,1.0205206457669647e-07,0.0,0.3252670209548052,6.624014377593994,3.1795268569112523e-06,True
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,100,0,16,5,11,13732,0.6866,11,6268,16,1.0,1.4901161193847656e-08,8.652287109001122e-09,0.0001595405232929164,0.0156630277633667,0.9996675252914429,4.798404233952169e-07,True
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,100,1,15,5,10,13381,0.66905,10,6481,15,1.0,6.646466403026352e-06,4.24870472670591e-06,0.0,1.7978182572584842,255.72100830078125,0.0001227460743393749,True
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,120,0,14,12,2,1434,0.0717,2,18556,14,1.0,8.494554171178947e-08,3.0874348411202845e-08,0.0,0.15974772822074246,2.748216152191162,1.3191437346904422e-06,True
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,120,1,13,10,3,1324,0.0662,3,18674,13,1.0,2.527236930838228e-08,2.527236930838228e-08,0.0,0.1531970500946045,2.9826810359954834,1.4316868828245788e-06,True
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,120,2,12,10,2,414,0.0207,2,19571,12,1.0,6.911702113421292e-10,6.911702113421292e-10,0.0,0.12762176828969485,2.5930287837982178,1.2446537311916472e-06,True
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,200,0,8,8,0,0,0.0,0,19994,8,,,,0.0,0.2901051351682288,3.0,1.4400000054592965e-06,True
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,200,1,8,8,0,0,0.0,0,19997,8,,,,0.0,0.23737776279449463,2.991093873977661,1.4357250393004506e-06,True
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,200,2,8,8,0,0,0.0,0,19990,8,,,,0.0,0.1634168223636907,3.0,1.4400000054592965e-06,True
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,220,0,8,2,6,16728,0.8364,6,3272,8,1.0,9.169945336395813e-08,3.684650762281194e-08,0.0,2.4368741458384835,2.9164814949035645,1.399911070620874e-06,True
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,220,1,7,1,6,19217,0.96085,6,783,7,1.0,1.0599377997522197e-07,2.709302027170679e-08,0.0,3.0679642215416703,4.926865100860596,2.3648951810173457e-06,True
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,300,0,5,5,0,0,0.0,0,19993,5,,,,5e-05,0.06416844867566632,1.0,4.799999828719592e-07,True
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,300,1,5,5,0,0,0.0,0,19966,5,,,,0.0,1.2327811127346577,5.361171722412109,2.573362280600122e-06,True
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,100,0,14,7,7,8242,0.4121,7,11749,14,1.0,1.3482002958475903e-08,2.6296166355521677e-09,0.0008504847763225039,0.024532456318992084,1.0,4.799999828719592e-07,True
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,100,1,15,4,11,10867,0.54335,11,9116,15,1.0,6.474675359413595e-06,4.738255540814862e-06,0.0,6.88513425680307,250.52964782714844,0.0001202542262035422,True
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,120,0,2,2,0,0,0.0,0,19998,2,,,,0.0,0.28746798634529114,2.0784571170806885,9.9765941286023e-07,True
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,120,1,3,3,0,0,0.0,0,19995,3,,,,0.0,0.21846237147382147,2.1773860454559326,1.0451452681081719e-06,True
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,120,2,2,2,0,0,0.0,0,19989,2,,,,0.0,0.233045756816864,2.3540968894958496,1.129966449298081e-06,True
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,200,0,2,2,0,0,0.0,0,19996,2,,,,0.0001,0.4352213827807789,2.9759459495544434,1.4284539702202892e-06,True
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,200,1,2,2,0,0,0.0,0,19994,2,,,,0.0,0.4209845382720232,2.9506778717041016,1.4163252899379586e-06,True
