alg,problema,ger,log,lo_f32,lo_corrigido,hi,explicado,divergia
moead,ZDT6,8,8,8,8,8,True,False
moead,ZDT6,9,5,5,5,5,True,False
moead,ZDT6,10,7,7,7,7,True,False
moead,ZDT6,11,8,8,8,9,True,False
moead,ZDT6,12,8,8,8,9,True,False
moead,ZDT6,13,8,8,8,9,True,False
moead,ZDT6,14,7,7,7,8,True,False
nsga2,BBOB_F1,1,7,7,7,7,True,False
nsga2,BBOB_F1,2,9,9,9,9,True,False
nsga2,BBOB_F1,3,6,6,6,6,True,False
nsga2,BBOB_F1,4,7,7,7,7,True,False
nsga2,BBOB_F1,5,15,15,15,15,True,False
nsga2,BBOB_F1,6,18,18,18,18,True,False
nsga2,BBOB_F1,7,16,16,16,16,True,False
nsga2,BBOB_F1,8,19,19,19,19,True,False
nsga2,BBOB_F1,9,20,20,20,20,True,False
nsga2,BBOB_F1,10,17,17,17,17,True,False
nsga2,BBOB_F1,11,20,20,20,20,True,False
nsga2,BBOB_F17,1,6,6,6,6,True,False
nsga2,BBOB_F17,2,6,6,6,6,True,False
nsga2,BBOB_F17,3,4,4,4,4,True,False
nsga2,BBOB_F17,4,9,9,9,9,True,False
nsga2,BBOB_F17,5,10,10,10,10,True,False
nsga2,BBOB_F17,6,7,7,7,7,True,False
nsga2,BBOB_F17,7,7,7,7,7,True,False
nsga2,BBOB_F17,8,9,9,9,9,True,False
nsga2,BBOB_F17,9,11,11,11,11,True,False
nsga2,BBOB_F17,10,12,12,12,14,True,False
nsga2,BBOB_F17,11,13,13,13,13,True,False
nsga2,BBOB_F22,1,5,5,5,5,True,False
nsga2,BBOB_F22,2,5,5,5,5,True,False
nsga2,BBOB_F22,3,2,2,2,2,True,False
nsga2,BBOB_F22,4,3,3,3,3,True,False
nsga2,BBOB_F22,5,6,6,6,6,True,False
nsga2,BBOB_F22,6,6,6,6,6,True,False
nsga2,BBOB_F22,7,7,7,7,7,True,False
nsga2,BBOB_F22,8,9,9,9,9,True,False
nsga2,BBOB_F22,9,16,16,16,16,True,False
nsga2,BBOB_F22,10,20,20,20,20,True,False
nsga2,BBOB_F22,11,20,20,20,20,True,False
nsga2,BBOB_F37,1,5,5,5,5,True,False
nsga2,BBOB_F37,2,9,9,9,9,True,False
