config,exp,problema,q,t_total,t_fit,t_busca,t_aval,t_sonda,cobertura,frac_aval
c217,main,ZDT3,1,192.605301,44.165357895195484,22.30146018974483,0.39941600000000027,50.757554000000006,0.6106986021373333,0.0020737539305836668
c217,main,ZDT4,1,52.95848,15.396541938185692,12.917167922481894,0.140337,10.979028000000003,0.7446036000404013,0.0026499438805645476
c217,main,ZDT6,1,59.891318,13.02138102799654,26.05357043724507,0.142567,8.611002999999997,0.7985885611206888,0.002380428495495791
c238,main,BBOB_F1,1,239.577298,95.28235063329339,117.77597627043724,0.14521499999999993,9.747947000000002,0.9306035703922608,0.0006061300516044718
c238,main,BBOB_F17,1,303.791654,138.37978813052177,135.81288877129555,0.21381399999999987,11.779140000000002,0.9420457314532324,0.0007038178869785537
c238,main,BBOB_F22,1,293.271302,136.52456288039684,128.6782575249672,0.18491099999999985,11.277382,0.9433760191284043,0.0006305117436959443
c238,main,BBOB_F37,1,297.131504,136.69200375676155,131.93648210167885,0.19959600000000005,11.466844000000002,0.9433362739564646,0.0006717429734411469
c238,main,BBOB_F49,1,417.771627,145.93278561532497,240.33868926763535,0.6504260000000007,13.532489999999997,0.9585485585955321,0.0015568936662134806
c238,main,BBOB_F5,1,283.085076,115.58340285718441,140.0725652575493,0.15462899999999996,10.539682,0.9408842136020399,0.0005462280180393542
c238,main,BBOB_F55,1,348.415791,166.04970821738243,152.04936563968658,1.1069999999999998,12.027070000000004,0.9506835006139805,0.003177238312944317
c238,main,DTLZ1,1,188.376229,66.88792598247528,98.39376187324524,0.10441399999999999,11.368123,0.9383042955792501,0.0005542843731095179
c238,main,DTLZ2,1,813.778135,395.46445220708847,376.0255193710327,0.1739189999999999,19.377687000000012,0.9720604960443194,0.00021371795643047094
c238,main,DTLZ3,1,802.034141,403.26439076662064,355.51894122362137,0.17972699999999991,19.90436299999999,0.9711150463234981,0.00022408896431255526
c238,main,DTLZ4,1,1550.68588,762.0097526907921,722.053878068924,0.19058600000000003,42.346376,0.9844679779761172,0.00012290432411753182
