fonte,geracao,D,M,n_amostra,n_front,nd_weak,nd_std,nd_strict,front_exato,front_bracket,eim_best,eim_rec_max,abs_max,rel_max,eim_rec_infill,rel_infill,argmax_eh_infill,gap_argmax,eim_med_rec,eim_med_log,rel_med,pool_n,pool_med_sobre_max,pool_min_sobre_max,sigma0_muda_argmax,n2_ok,frac_exploracao,min_dist_log,min_dist_rec,pool_coincide_antigo,eim_zero,s_best_min,lam_abs_max,u11_err,u11_otimista,u11_cob,u11_err_modelo,norm_min_ok,norm_max_ok,range_ok
R42,5,2,2,25,7,7,7,7,True,True,0.06865546138759591,0.06865546113151685,2.560790607342156e-10,3.729915371022207e-09,0.06865546113151685,3.729915371022207e-09,True,0.0,0.06865546113151685,0.06865546138759591,3.729915371022207e-09,20,1.0,1.0,False,True,1.1486596971114973,0.1862147897762126,0.18621484437430605,0,0,0.07590220123529434,7.024780069655807,0.0976525915475479,1,2,0.020397372514693535,1.386580860798942e-08,4.672978251492722e-09,0.0
R42,6,2,2,26,7,7,7,7,True,True,0.4495740283937377,0.44957401509574996,1.3297987766502928e-08,2.957908359167164e-08,0.44957401509574996,2.957908359167164e-08,True,0.0,0.44957401509574996,0.4495740283937377,2.957908359167164e-08,20,1.0,1.0,False,True,0.15075929055371695,0.4928789958432739,0.49287909477043906,0,0,0.15569762885570526,10.055413065712875,3.280195826815276,1,1,0.5573821716404923,1.386580860798942e-08,4.672978251492722e-09,0.0
R42,7,2,2,27,7,7,7,7,True,True,0.11558414369797468,0.11558414274990692,9.48067763184568e-10,8.202403312879157e-09,0.11558414274990692,8.202403312879157e-09,True,0.0,0.11558414274990692,0.11558414369797468,8.202403312879157e-09,20,1.0,1.0,False,True,0.0645261344832398,0.19073489423723763,0.19073493819937593,0,0,0.03658296912908554,9.929782111006618,1.5324167001995217,2,0,0.20626878905211624,1.386580860798942e-08,1.0691249728090426e-08,0.0
R42,8,2,2,28,7,7,7,7,True,True,0.1984461416091535,0.19844614300136584,1.3922123454079838e-09,7.015567720888189e-09,0.19844614300136584,7.015567720888189e-09,True,0.0,0.19844609271897853,0.19844609024364782,1.247356758270063e-08,20,0.999999746619478,0.9999991110914452,True,True,0.10230017276031254,0.17000739326065736,0.17000733172200697,0,0,0.029280437156558037,23.166306219755587,1.7745093022123961,2,2,0.23885532236852408,1.386580860798942e-08,1.0691249728090426e-08,0.0
R42,9,2,2,29,7,7,7,7,True,True,0.08967647569354383,0.08967647464424289,1.0493009378054197e-09,1.1700960923032383e-08,0.08967647464424289,1.1700960923032383e-08,True,0.0,0.08956566795233875,0.08956566934602087,1.5560449939528653e-08,20,0.9987643727929346,0.9975287455858692,False,True,0.8936064822519081,0.14681435676096183,0.14681428510503927,0,0,0.0416712686419487,9.044647233164746,4.973549839074966,2,1,0.669457662829418,1.386580860798942e-08,1.0691249728090426e-08,0.0
R42,10,2,2,30,7,7,7,7,True,True,0.061494561082324824,0.06149456101667146,6.565336468922212e-11,1.0676288038112795e-09,0.06149456101667146,1.0676288038112795e-09,True,0.0,0.06149456101667131,0.06149456107934879,1.0192360628590287e-09,20,0.9999999999999977,0.9999999999999977,False,True,1.4888921594962068,0.07226865191665868,0.07226875456075287,0,0,0.09374359250068665,4.576388016992521,1.065842862083107,0,2,0.1434662754935388,1.386580860798942e-08,1.0691249728090426e-08,0.0
R42,11,2,2,31,8,8,8,8,True,True,0.09443187894299253,0.09443187818684966,7.56142870539378e-10,8.007283970234809e-09,0.09443187818684966,8.007283970234809e-09,True,0.0,0.09443187818684966,0.09443187894299253,8.007283970234809e-09,20,1.0,1.0,False,True,0.7229411316573703,0.2581342810168516,0.25813428922434006,0,0,0.12762872874736786,2.7387515624283907,0.02886643146736073,2,2,0.028918667918594876,1.386580860798942e-08,1.0691249728090426e-08,0.0
R42,12,2,2,32,9,9,9,9,True,True,0.09413206484907577,0.09413206309621755,1.7528582196835174e-09,1.8621266010619418e-08,0.09413206309621755,1.8621266010619418e-08,True,0.0,0.09413206309621755,0.09413206484906878,1.8621191706449674e-08,20,1.0,1.0,False,True,0.446891257738984,0.1237058907156499,0.12370583467105886,0,0,0.05272647738456726,7.33775391135092,3.1549743835534687,2,1,0.424670878032907,1.386580860798942e-08,1.0691249728090426e-08,0.0
R42,13,2,2,33,9,9,9,9,True,True,0.08718154783473644,0.08718154605172593,1.7830105170091315e-09,2.0451696044546623e-08,0.08718154605172593,2.0451696044546623e-08,True,0.0,0.08718154605172593,0.08718154783473644,2.0451696044546623e-08,20,1.0,1.0,False,True,1.0290232180265713,0.3199838800057733,0.3199838709684082,0,0,0.0944773480296135,4.207652306228224,0.41135592636628693,0,2,0.05536998441085768,1.386580860798942e-08,1.0691249728090426e-08,0.0
R42,14,2,2,34,9,9,9,9,True,True,0.06457360075881502,0.06457359436332787,6.3954871537541536e-09,9.904182326213391e-08,0.06457359436332787,9.904182326213391e-08,True,0.0,0.06457359436332787,0.06457360075881502,9.904182326213391e-08,20,1.0,1.0,False,True,1.266227883142845,0.09567251365329818,0.09567252696628391,0,0,0.03232604265213013,14.35359357326795,0.5495075011294208,1,2,0.07396568232274045,1.386580860798942e-08,1.0691249728090426e-08,0.0
