label,exp,problema,D,M,n_dataset,tier,dist,modelo,obj,wape,corr,cobertura95,n_sigma_validas,n,dX_gabarito,sigma_med,sigma_max,mu_min,mu_max,f_min,f_max
WFG5,off,WFG5,22,2,681,small,lhs,Kriging-DACE,0,0.16787864157960222,0.26119484238739615,0.95505,20000,20000,0.0,0.39804309606552124,0.4035889506340027,1.412778377532959,2.406209945678711,0.5769722417826723,2.714283967898375
WFG5,off,WFG5,22,2,681,small,lhs,Kriging-DACE,1,0.22109053355582026,0.25685737221786403,0.94735,20000,20000,0.0,0.8327938616275787,0.8443970084190369,2.121642827987671,4.196552276611328,0.48267260437621473,4.656940430520886
WFG5,off,WFG5,22,2,681,small,lhs,RBFN,0,0.17227230122314321,0.16450067661500983,,0,20000,0.0,,,1.4036962985992432,2.2306652069091797,0.5769722417826723,2.714283967898375
WFG5,off,WFG5,22,2,681,small,lhs,RBFN,1,0.23002498513518094,0.10962549204426005,,0,20000,0.0,,,2.269695520401001,4.033389568328857,0.48267260437621473,4.656940430520886
WFG9,off,WFG9,22,2,681,small,lhs,Kriging-DACE,0,0.23584992374201003,0.3644169660354209,0.96735,20000,20000,0.0,0.538396954536438,0.5461120009422302,1.0526338815689087,3.053532838821411,0.3884963206064257,2.937960448168603
WFG9,off,WFG9,22,2,681,small,lhs,Kriging-DACE,1,0.2518586562313222,0.24691170720729427,0.9599,20000,20000,0.0,1.016484260559082,1.0310500860214233,2.046851396560669,4.714853286743164,0.6491432496835363,4.950165885958182
WFG9,off,WFG9,22,2,681,small,lhs,RBFN,0,0.23694674910286317,0.3465026377264949,,0,20000,0.0,,,1.05448579788208,2.9176065921783447,0.3884963206064257,2.937960448168603
WFG9,off,WFG9,22,2,681,small,lhs,RBFN,1,0.25305573663977454,0.23362167791020363,,0,20000,0.0,,,2.1696605682373047,4.579059600830078,0.6491432496835363,4.950165885958182
ZDT1,off,ZDT1,30,2,929,small,lhs,Kriging-DACE,0,1.9860694704779997e-08,0.9999999999999987,0.06245,20000,20000,0.0,6.707809088389719e-17,6.784671041780392e-17,4.035141319036484e-05,0.9999729990959167,4.035141319036484e-05,0.9999730018898845
ZDT1,off,ZDT1,30,2,929,small,lhs,Kriging-DACE,1,0.022431451474246755,0.9859577067152796,0.95455,20000,20000,0.0,0.1120975948870182,0.11338207870721817,1.6863828897476196,6.145516395568848,1.8511440573849824,6.695247145212829
ZDT1,off,ZDT1,30,2,929,small,lhs,RBFN,0,0.02245192028414742,0.9987702753591606,,0,20000,0.0,,,-0.04881472513079643,1.0550591945648193,4.035141319036484e-05,0.9999730018898845
ZDT1,off,ZDT1,30,2,929,small,lhs,RBFN,1,0.024040791892051522,0.9834572837617858,,0,20000,0.0,,,1.7159113883972168,6.172926425933838,1.8511440573849824,6.695247145212829
ZDT3,off,ZDT3,30,2,929,small,lhs,Kriging-DACE,0,1.9863682620407528e-08,0.9999999999999989,0.0625,20000,20000,0.0,6.820623950796642e-17,6.900471695326385e-17,2.985447645187378e-05,0.999955952167511,2.985447645187378e-05,0.9999559670686722
ZDT3,off,ZDT3,30,2,929,small,lhs,Kriging-DACE,1,0.08903856721621788,0.8257677614458846,0.9514,20000,20000,0.0,0.43139222264289856,0.43644243478775024,1.6507951021194458,6.315568923950195,1.335717958836115,6.765576685539081
ZDT3,off,ZDT3,30,2,929,small,lhs,RBFN,0,0.01057061212734592,0.9997299411635985,,0,20000,0.0,,,-0.01469462551176548,1.015097737312317,2.985447645187378e-05,0.9999559670686722
ZDT3,off,ZDT3,30,2,929,small,lhs,RBFN,1,0.08891466294921807,0.8263418117881219,,0,20000,0.0,,,1.6710660457611084,6.304457187652588,1.335717958836115,6.765576685539081
ZDT4,off,ZDT4,10,2,309,small,lhs,Kriging-DACE,0,1.9864551741503692e-08,0.9999999999999982,0.0625,20000,20000,0.0,5.004307461915665e-18,5.1092725457455815e-18,3.6582350730895996e-06,0.9999887943267822,3.6582350730895996e-06,0.9999888222664595
ZDT4,off,ZDT4,10,2,309,small,lhs,Kriging-DACE,1,0.15610881371731386,0.0055931610526541355,0.94165,20000,20000,0.0,29.32619285583496,29.941909790039062,138.3951873779297,177.16099548339844,54.00701544605971,280.8549843394163
ZDT4,off,ZDT4,10,2,309,small,lhs,RBFN,0,0.3763262357317621,0.6138502435190923,,0,20000,0.0,,,-0.17451190948486328,1.2825937271118164,3.6582350730895996e-06,0.9999888222664595
ZDT4,off,ZDT4,10,2,309,small,lhs,RBFN,1,0.10910009467587867,0.7074208361653308,,0,20000,0.0,,,89.58040618896484,252.26878356933594,54.00701544605971,280.8549843394163
ZDT6,off,ZDT6,10,2,309,small,lhs,Kriging-DACE,0,0.09186634000000539,0.4417818775404161,0.94715,20000,20000,0.0,0.12472257018089294,0.12773191928863525,0.6148857474327087,1.1269651651382446,0.28077539088960835,1.0
