problema,D,M,geracao,count,regime,desal,N,aceito,slot,n_cand,flag_copia,frac_n1,fbest_rel_max
BBOB_F37,10,2,294,51,produtivo,19,,1,0,1,False,0.8,3.4364105749264566e-08
BBOB_F49,10,2,2,0,no-op,90,,0,1,1,True,0.99,
BBOB_F49,10,2,6,0,no-op,90,,0,1,1,True,1.0,
BBOB_F49,10,2,10,0,no-op,87,,0,1,1,True,0.95,
BBOB_F49,10,2,14,0,no-op,90,,0,1,1,True,0.95,
BBOB_F49,10,2,18,0,no-op,89,,0,1,1,True,0.98,
BBOB_F49,10,2,22,0,no-op,89,,0,1,1,True,0.96,
BBOB_F49,10,2,26,0,no-op,87,,0,1,1,True,0.9,
BBOB_F49,10,2,30,0,no-op,89,,0,1,1,True,0.92,
BBOB_F49,10,2,34,0,no-op,85,,0,1,1,True,0.92,
BBOB_F49,10,2,38,51,produtivo,29,,1,0,1,False,0.68,
BBOB_F49,10,2,42,30,produtivo,6,,1,0,1,False,0.94,
BBOB_F49,10,2,46,11,produtivo,7,,1,0,1,False,0.93,
BBOB_F49,10,2,50,2,produtivo,2,,1,0,1,False,0.9,
BBOB_F49,10,2,54,28,produtivo,8,,1,0,1,False,0.91,
BBOB_F49,10,2,58,17,produtivo,6,,1,0,1,False,0.92,
BBOB_F49,10,2,62,2,produtivo,0,,1,0,1,False,0.91,
BBOB_F49,10,2,66,46,produtivo,8,,1,0,1,False,0.92,
BBOB_F49,10,2,70,9,produtivo,10,,1,0,1,False,0.9,
BBOB_F49,10,2,74,4,produtivo,7,,1,0,1,False,0.92,
BBOB_F49,10,2,78,28,produtivo,8,,1,0,1,False,0.9,
BBOB_F49,10,2,82,51,produtivo,17,,1,0,1,False,0.83,
BBOB_F49,10,2,86,21,produtivo,6,,1,0,1,False,0.93,
BBOB_F49,10,2,90,51,produtivo,21,,1,0,1,False,0.76,
BBOB_F49,10,2,94,41,produtivo,8,,1,0,1,False,0.91,
BBOB_F49,10,2,98,51,produtivo,15,,1,0,1,False,0.85,
BBOB_F49,10,2,102,0,no-op,88,,0,1,1,True,0.92,
BBOB_F49,10,2,106,51,produtivo,25,,1,0,1,False,0.72,
BBOB_F49,10,2,110,51,produtivo,29,,1,0,1,False,0.63,
BBOB_F49,10,2,114,14,produtivo,8,,1,0,1,False,0.91,
BBOB_F49,10,2,118,51,produtivo,14,,1,0,1,False,0.84,
BBOB_F49,10,2,122,51,produtivo,14,,1,0,1,False,0.82,
BBOB_F49,10,2,126,0,no-op,86,,0,1,1,True,0.92,
BBOB_F49,10,2,130,51,produtivo,19,,1,0,1,False,0.78,
BBOB_F49,10,2,134,32,produtivo,8,,1,0,1,False,0.92,
BBOB_F49,10,2,138,51,produtivo,15,,1,0,1,False,0.79,
BBOB_F49,10,2,142,51,produtivo,17,,1,0,1,False,0.82,
BBOB_F49,10,2,146,51,produtivo,20,,1,0,1,False,0.79,
BBOB_F49,10,2,150,46,produtivo,10,,1,0,1,False,0.9,
BBOB_F49,10,2,154,0,no-op,87,,0,1,1,True,0.91,
BBOB_F49,10,2,158,37,produtivo,9,,1,0,1,False,0.9,
BBOB_F49,10,2,162,44,produtivo,8,,1,0,1,False,0.9,
BBOB_F49,10,2,166,24,produtivo,9,,1,0,1,False,0.91,
BBOB_F49,10,2,170,51,produtivo,15,,1,0,1,False,0.83,
BBOB_F49,10,2,174,51,produtivo,18,,1,0,1,False,0.78,
BBOB_F49,10,2,178,51,produtivo,15,,1,0,1,False,0.85,
BBOB_F49,10,2,182,0,no-op,88,,0,1,1,True,0.9,
BBOB_F49,10,2,186,28,produtivo,9,,1,0,1,False,0.91,
BBOB_F49,10,2,190,0,no-op,86,,0,1,1,True,0.91,
BBOB_F49,10,2,194,30,produtivo,6,,1,0,1,False,0.92,
BBOB_F49,10,2,198,8,produtivo,8,,1,0,1,False,0.91,
BBOB_F49,10,2,202,29,produtivo,7,,1,0,1,False,0.92,
BBOB_F49,10,2,206,0,no-op,92,,0,1,1,True,0.92,
BBOB_F49,10,2,210,12,produtivo,8,,1,0,1,False,0.91,
BBOB_F49,10,2,214,51,produtivo,16,,1,0,1,False,0.84,
BBOB_F49,10,2,218,17,produtivo,8,,1,0,1,False,0.9,
BBOB_F49,10,2,222,33,produtivo,8,,1,0,1,False,0.91,
BBOB_F49,10,2,226,3,produtivo,9,,1,0,1,False,0.9,
BBOB_F49,10,2,230,51,produtivo,16,,1,0,1,False,0.8,
BBOB_F49,10,2,234,51,produtivo,13,,1,0,1,False,0.82,
BBOB_F49,10,2,238,51,produtivo,12,,1,0,1,False,0.86,
BBOB_F49,10,2,242,16,produtivo,6,,1,0,1,False,0.91,
BBOB_F49,10,2,246,50,produtivo,6,,1,0,1,False,0.92,
BBOB_F49,10,2,250,24,produtivo,6,,1,0,1,False,0.94,
BBOB_F49,10,2,254,51,produtivo,16,,1,0,1,False,0.79,
BBOB_F49,10,2,258,8,produtivo,7,,1,0,1,False,0.93,
BBOB_F49,10,2,262,51,produtivo,16,,1,0,1,False,0.8,
BBOB_F49,10,2,266,32,produtivo,10,,1,0,1,False,0.9,
BBOB_F49,10,2,270,13,produtivo,10,,1,0,1,False,0.9,
BBOB_F49,10,2,274,8,produtivo,6,,1,0,1,False,0.94,
