label,exp,tier,dist,problema,M,geracao,pop,teto,fase
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,52,28,50,build
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,100,29,50,build
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,408,50,50,build
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,409,27,50,final
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,908,50,50,final
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,1408,50,50,final
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,1,38,50,build
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,10,46,50,build
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,25,47,50,build
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,50,47,50,build
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,51,47,50,build
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,52,43,50,build
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,100,48,50,build
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,3111,45,50,build
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,3112,38,50,final
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,3611,49,50,final
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,4111,49,50,final
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,1,41,50,build
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,10,42,50,build
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,25,46,50,build
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,50,46,50,build
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,51,44,50,build
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,52,34,50,build
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,100,44,50,build
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,1530,50,50,build
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,1531,36,50,final
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,2030,50,50,final
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,2530,50,50,final
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,1,44,105,build
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,10,56,105,build
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,25,58,105,build
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,50,58,105,build
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,51,60,105,build
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,52,51,105,build
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,100,70,105,build
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,714,104,105,build
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,715,78,105,final
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,1214,103,105,final
