label,exp,tier,dist,problema,bloco,obj,D,M,N,I_eff,wape,corr,cobertura95,n_sigma_valido,nan_share,mu_min,mu_max,f_min,f_max,mae,mae_ref
WFG9,off,small,lhs,WFG9,1,0,22,2,681,4,0.49491150706096143,0.10232717780413193,1.0,7178,0.6411,1.302587560253995e-34,2.1632330417633057,0.3884963206064257,2.937960448168603,0.9895975030555674,0.5092529782277385
WFG9,off,small,lhs,WFG9,1,1,22,2,681,4,0.535871465345794,-0.0697627563108034,1.0,7178,0.6411,3.525182432252525e-34,3.369507074356079,0.6491432496835363,4.950165885958182,1.8281752866294183,0.8969879067998335
ZDT1,off,small,lhs,ZDT1,0,0,30,2,929,4,2.744659420718201e-07,0.9999999999998345,1.0,20000,0.0,4.090087895747274e-05,0.9999727010726929,4.035141319036484e-05,0.9999730018898845,1.3723645533900708e-07,0.25
ZDT1,off,small,lhs,ZDT1,0,1,30,2,929,4,0.02711703908147191,0.9421808328003449,0.9513257995420636,13539,0.32305,2.0850236415863037,6.652008533477783,1.8511440573849824,6.695247145212829,0.10678713928323563,0.5570802670396395
ZDT1,off,small,lhs,ZDT1,1,0,30,2,929,4,2.744659420718201e-07,0.9999999999998345,1.0,20000,0.0,4.090087895747274e-05,0.9999727010726929,4.035141319036484e-05,0.9999730018898845,1.3723645533900708e-07,0.25
ZDT1,off,small,lhs,ZDT1,1,1,30,2,929,4,0.02711703908147191,0.9421808328003449,0.9513257995420636,13539,0.32305,2.0850236415863037,6.652008533477783,1.8511440573849824,6.695247145212829,0.10678713928323563,0.5570802670396395
ZDT3,off,small,lhs,ZDT3,0,0,30,2,929,4,1.952782044405049e-07,0.999999999999922,1.0,20000,0.0,3.0152834369800985e-05,0.9999556541442871,2.985447645187378e-05,0.9999559670686722,9.764154310687445e-08,0.250000001527369
ZDT3,off,small,lhs,ZDT3,0,1,30,2,929,4,0.07674342628316148,0.7935081643028634,0.86975,20000,0.0,1.3759957551956177,6.774772644042969,1.335717958836115,6.765576685539081,0.30465869280769886,0.614288338053774
ZDT3,off,small,lhs,ZDT3,1,0,30,2,929,4,1.952782044405049e-07,0.999999999999922,1.0,20000,0.0,3.0152834369800985e-05,0.9999556541442871,2.985447645187378e-05,0.9999559670686722,9.764154310687445e-08,0.250000001527369
ZDT3,off,small,lhs,ZDT3,1,1,30,2,929,4,0.07674342628316148,0.7935081643028634,0.86975,20000,0.0,1.3759957551956177,6.774772644042969,1.335717958836115,6.765576685539081,0.30465869280769886,0.614288338053774
