problema,geracao,aceito,range0,n_front_ev,n_sigma_val,hv_base,hv_gain,score_best,pos,is_argmax,dif_sig_score
BBOB_F17,171,1,False,100,100,0.9574021323061138,0.04259786769388618,1.0,11,True,3.710748253116236e-08
BBOB_F17,175,1,False,100,100,0.9575209050701852,0.04247909492981483,1.0,2,True,3.271567772245021e-08
BBOB_F17,179,1,False,100,100,0.9575209050701852,0.04247909492981483,1.0,1,True,2.7127742274757338e-08
BBOB_F17,183,1,False,100,100,0.9575209050701852,0.04247909492981483,1.0,4,True,3.271567772245021e-08
BBOB_F17,187,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,5,True,2.922380215597542e-08
BBOB_F17,191,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,9,True,4.039967305136116e-08
BBOB_F17,195,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,7,True,4.039967305136116e-08
BBOB_F17,199,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,6,True,4.039967305136116e-08
BBOB_F17,203,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,71,True,2.8518197470184248e-08
BBOB_F17,207,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,5,True,3.2949092454437334e-08
BBOB_F17,211,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,36,True,3.410613291787712e-08
BBOB_F17,215,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,1,True,3.410613291787712e-08
BBOB_F17,219,1,False,100,100,0.8817824615362858,0.11821753846371419,1.0,54,True,4.039967305136116e-08
BBOB_F17,223,1,False,100,100,0.9257612813492591,0.05678024523249681,0.9825415265817559,40,True,3.0897063574286676e-08
BBOB_F17,227,1,False,100,100,0.9416946231871194,0.058305376812880616,1.0,7,True,3.5718018431829535e-08
BBOB_F17,231,1,False,100,100,0.9416946231871194,0.0,0.9416946231871194,18,True,3.5718018431829535e-08
BBOB_F17,235,1,False,100,100,0.9416946231871194,0.04922069905453019,0.9909153222416496,49,True,3.133720694048492e-08
BBOB_F17,239,1,False,100,100,0.9416946231871194,0.058305376812880616,1.0,88,True,3.5718018431829535e-08
BBOB_F17,243,1,False,100,100,0.9416946231871194,0.010005116300726091,0.9516997394878455,87,True,3.5718018431829535e-08
BBOB_F17,247,1,False,100,100,0.9416946231871194,0.0,0.9416946231871194,10,True,3.5718018431829535e-08
BBOB_F17,251,1,False,100,100,0.9432242650613987,0.05677573493860133,1.0,7,True,4.35934268683269e-08
BBOB_F17,255,1,False,100,100,0.9434465393928135,0.05655346060718647,1.0,20,True,3.7202492864096826e-08
BBOB_F17,259,1,False,100,100,0.9490531779345381,0.05094682206546186,1.0,17,True,3.944004656197819e-08
BBOB_F17,263,1,False,100,100,0.9493228779989151,0.05067712200108487,1.0,29,True,3.1117829868421154e-08
BBOB_F17,267,1,False,100,100,0.9493228779989151,0.05067712200108487,1.0,82,True,3.1117829868421154e-08
BBOB_F17,271,1,False,100,100,0.9493258552402376,0.050674144759762396,1.0,6,True,3.410874616083248e-08
BBOB_F17,275,1,False,100,100,0.9493258552402376,0.050674144759762396,1.0,62,True,3.410874616083248e-08
BBOB_F22,3,1,False,100,100,0.785984094138734,0.21401590586126595,1.0,0,True,3.4574873741810563e-08
BBOB_F22,7,1,False,100,100,0.7062183771851399,0.28399699311135973,0.9902153702964996,62,True,3.023174788285843e-08
BBOB_F22,11,1,False,100,100,0.8575822824422541,0.1424177175577459,1.0,8,True,4.114548590727907e-08
BBOB_F22,15,1,False,100,100,0.804549983391242,0.16813152653465724,0.9726815099258992,41,True,3.8495583609687856e-08
BBOB_F22,19,1,False,100,100,0.7068833624903844,0.25557531443945436,0.9624586769298388,32,True,3.6317555740517093e-08
BBOB_F22,23,1,False,100,100,0.781911191600243,0.1432905750955974,0.9252017666958404,42,True,3.252657276853199e-08
BBOB_F22,27,1,False,100,100,0.8554041047798214,0.0903948230020476,0.945798927781869,64,True,3.378524204844524e-08
BBOB_F22,31,1,False,100,100,0.7897025243742859,0.07706052942153496,0.8667630537958209,30,True,3.440217133388046e-08
BBOB_F22,35,1,False,100,100,0.7963900521264445,0.07329297327721862,0.8696830254036632,47,True,3.428598527310811e-08
BBOB_F22,39,1,False,100,100,0.8047394624465032,0.19526053755349682,1.0,11,True,3.189974262518547e-08
BBOB_F22,43,1,False,100,100,0.8088467809160654,0.06768095128103802,0.8765277321971034,42,True,3.900131628764569e-08
BBOB_F22,47,1,False,100,100,0.8265345720080514,0.1626591320587546,0.989193704066806,30,True,3.25469154960345e-08
BBOB_F22,51,1,False,100,100,0.8453543654268255,0.15464563457317448,1.0,55,True,3.19068899079511e-08
BBOB_F22,55,1,False,100,100,0.8692792527953476,0.04146603088075973,0.9107452836761073,51,True,4.241072237842758e-08
BBOB_F22,59,1,False,100,100,0.9121094803933999,0.0189935102560278,0.9311029906494277,97,True,3.0887593926998136e-08
BBOB_F22,63,1,False,100,100,0.9245057394929699,0.022802107893041934,0.9473078473860118,8,True,3.071348153582676e-08
BBOB_F22,67,1,False,100,100,0.9248635718400938,0.06375106711393475,0.9886146389540286,93,True,3.485126665037086e-08
