ger,n_sub,slots_mudou,novos,p_min,p_med,p_max,n_chamadas,n_nan,flag
179,25,16,16,0.0,0.055197500000000004,0.603681,50,0,
180,17,11,11,0.0,0.07571875,0.530732,50,0,
181,35,19,19,0.0,0.0897785,0.528845,50,0,
182,39,25,25,0.0,0.17982775,0.768979,50,0,
183,31,17,16,0.0,0.083266,0.730272,50,0,
184,40,26,26,0.0,0.12954775000000002,0.728872,50,0,
185,41,25,25,0.0,0.10521025,0.890404,50,0,
186,19,16,16,0.0,0.060000000000000005,0.732317,50,0,
187,17,17,17,0.0,0.09275125000000001,0.664146,50,0,
188,10,10,10,0.0,0.0718125,0.673126,50,0,
189,25,21,21,0.0,0.10502975,0.564183,50,0,
190,22,16,16,0.0,0.09360274999999998,0.729504,50,0,
191,18,13,10,0.0,0.0713745,0.551168,50,0,
192,23,17,17,0.0,0.086703,0.6226,50,0,
193,18,14,14,0.0,0.0637925,0.78813,50,0,
194,25,19,19,0.0,0.06431425,0.542432,50,0,
195,14,12,12,0.0,0.055323750000000005,0.527015,50,0,
196,22,18,18,0.0,0.069464,0.526356,50,0,
197,23,18,18,0.0,0.072612,0.572281,50,0,
198,26,17,17,0.0,0.070965,0.564095,50,0,
199,30,18,18,0.0,0.0566055,0.553773,50,0,
200,23,17,17,0.0,0.05504225,0.589973,50,0,
201,11,10,10,0.0,0.08359225,0.531595,50,0,
202,23,15,15,0.0,0.07911599999999999,0.53246,50,0,
203,20,14,14,0.0,0.07467725,0.527889,50,0,
204,17,14,14,0.0,0.053626,0.551765,50,0,
205,17,13,13,0.0,0.08069899999999999,0.568086,50,0,
206,15,14,14,0.0,0.0743555,0.520711,50,0,
207,18,15,15,0.0,0.07002625,0.584424,50,0,
208,7,6,6,0.0,0.060747749999999996,0.513336,50,0,
209,12,10,10,0.0,0.07500375,0.77083,50,0,
210,31,21,21,0.0,0.08785225,0.522944,50,0,
211,29,18,18,0.0,0.0679875,0.679678,50,0,
212,22,15,15,0.0,0.06223625,0.566918,50,0,
213,25,16,16,0.0,0.07164875,0.552756,50,0,
214,12,12,12,0.0,0.056218000000000004,0.529645,50,0,
215,9,9,9,0.0,0.06972125,0.531716,50,0,
216,15,10,10,0.0,0.079833,0.785638,50,0,
217,13,9,8,0.0,0.04428375,0.531824,50,0,
218,16,13,13,0.0,0.09036324999999999,0.521501,50,0,
219,23,14,14,0.0,0.11067075000000001,0.522147,50,0,
220,33,21,21,0.0,0.07039300000000001,0.617826,50,0,
221,12,11,11,0.0,0.06595575000000001,0.533679,50,0,
222,31,18,18,0.0,0.06467175,0.78045,50,0,
223,26,19,19,0.0,0.05818075,0.571973,50,0,
224,26,19,19,0.0,0.06478175,0.570937,50,0,
225,27,17,17,0.0,0.12304025,0.658376,50,0,
226,13,11,11,0.0,0.09502075,0.630453,50,0,
227,16,12,12,0.0,0.051662,0.530291,50,0,
228,19,15,15,0.0,0.07588975,0.545903,50,0,
229,22,15,15,0.0,0.06427075,0.642204,50,0,
230,19,12,12,0.0,0.0635935,0.533306,50,0,
231,25,18,18,0.0,0.06432974999999999,0.637867,50,0,
232,34,26,26,0.0,0.0930925,0.706834,50,0,
233,16,14,14,0.0,0.09370125,0.605724,50,0,
234,37,21,21,0.0,0.062033,0.646788,50,0,
235,22,20,20,0.0,0.09150525000000001,0.591014,50,0,
236,16,16,16,0.0,0.05255875,0.601666,50,0,
237,17,12,12,0.0,0.066392,0.527391,50,0,
238,23,16,16,0.0,0.050619250000000005,0.547891,50,0,
239,22,17,17,0.0,0.0671175,0.563054,50,0,
240,20,16,16,0.0,0.089458,0.544019,50,0,
241,14,12,12,0.0,0.06429299999999999,0.538862,50,0,
242,25,16,14,0.0,0.0928445,0.635514,50,0,
243,24,19,19,0.0,0.060714500000000005,0.565302,50,0,
244,20,16,16,0.0,0.0523745,0.538027,50,0,
245,11,10,10,0.0,0.05928975,0.670311,50,0,
246,14,12,12,0.0,0.07105,0.5432,50,0,
247,12,11,11,0.0,0.0540355,0.531895,50,0,
248,26,19,19,0.0,0.06095,0.540203,50,0,
249,19,14,14,0.0,0.09856275,0.549301,50,0,
250,25,17,17,0.0,0.0696795,0.587392,50,0,
251,12,11,11,0.0,0.06602,0.536386,50,0,
252,22,16,16,0.0,0.1050925,0.553584,50,0,
253,28,21,21,0.0,0.07207375,0.544338,50,0,
254,21,16,16,0.0,0.09288874999999999,0.531623,50,0,
255,26,19,19,0.0,0.06084875,0.694926,50,0,
256,19,15,15,0.0,0.05955375,0.56213,50,0,
257,36,18,18,0.0,0.08558500000000001,0.536798,50,0,
258,19,11,11,0.0,0.07205175,0.701538,50,0,
259,12,6,5,0.0,0.078717,0.634266,50,0,
260,27,15,15,0.0,0.106161,0.531964,50,0,
261,24,17,17,0.0,0.0530705,0.530478,50,0,
262,21,16,16,0.0,0.08989174999999999,0.673867,50,0,
263,17,14,14,0.0,0.09849875,0.525921,50,0,
264,16,15,15,0.0,0.08266075,0.654746,50,0,
265,15,15,15,0.0,0.0399975,0.538649,50,0,
266,32,18,18,0.0,0.07134774999999999,0.561256,50,0,
267,9,9,9,0.0,0.054551,0.522333,50,0,
268,26,19,19,0.0,0.042639750000000004,0.634331,50,0,
269,20,14,14,0.0,0.06821725000000001,0.545301,50,0,
270,13,10,10,0.0,0.07159650000000001,0.52434,50,0,
271,18,15,15,0.0,0.0598185,0.674266,50,0,
272,59,28,28,0.0,0.07311325,0.64442,50,0,
273,42,26,24,0.0,0.09093599999999999,0.901688,50,0,
274,22,18,18,0.0,0.04495325,0.910873,50,0,
275,28,16,12,0.0,0.04392,0.611074,50,0,
276,18,16,16,0.0,0.0581555,0.666397,50,0,
277,25,17,17,0.0,0.042242,0.647326,50,0,
278,26,17,17,0.0,0.042604750000000004,0.706962,50,0,
279,34,23,23,0.0,0.051165249999999995,0.553513,50,0,
280,19,14,14,0.0,0.05412575,0.570991,50,0,
281,20,12,12,0.0,0.061571749999999995,0.618856,50,0,
282,55,30,30,0.0,0.13062275,0.986727,50,0,
283,39,23,23,0.0,0.12520775,0.807532,50,0,
284,22,19,19,0.0,0.0554835,0.759837,50,0,
285,37,27,27,0.0,0.055396999999999995,0.57138,50,0,
