problema,ciclo,ramo,n_inf,n_achados,rank_min,ranks,km_ok,nf1_log,nf1_pop,nf1_arq,warm_inter,head_mean,head_std
ZDT1,190,convergencia,3,3,0,"[0, 26, 72]",3,27,39,27,0.0,0.44497665762901306,0.28061604499816895
ZDT1,191,incerteza,3,3,0,"[0, 1, 11]",3,27,22,27,0.0,0.45587778091430664,0.2859340310096741
ZDT1,192,convergencia,3,3,0,"[0, 47, 91]",3,27,38,27,0.0,0.45695817470550537,0.28476637601852417
ZDT1,193,convergencia,3,3,0,"[0, 12, 92]",2,27,49,27,0.0,0.4518755376338959,0.2811938524246216
ZDT1,194,convergencia,3,3,0,"[0, 41, 95]",1,27,48,27,0.0,0.4573745131492615,0.2924262285232544
ZDT1,195,incerteza,3,3,0,"[0, 38, 41]",3,27,44,27,0.0,0.4543747007846832,0.28358399868011475
ZDT1,196,convergencia,3,3,0,"[0, 21, 68]",3,27,39,27,0.0,0.4471684992313385,0.28522610664367676
ZDT1,197,convergencia,3,3,0,"[0, 13, 71]",1,27,49,27,0.0,0.4639934003353119,0.28678086400032043
ZDT1,198,incerteza,3,3,0,"[0, 3, 43]",3,27,35,27,0.0,0.4581736922264099,0.2853791117668152
ZDT1,199,convergencia,3,3,0,"[0, 52, 99]",3,26,45,27,0.0,0.45464739203453064,0.29039520025253296
ZDT1,200,incerteza,3,3,0,"[0, 1, 59]",3,26,40,26,,,
ZDT3,1,convergencia,3,3,0,"[0, 24, 59]",1,5,23,12,0.0,0.471393346786499,0.2875136733055115
ZDT3,2,convergencia,3,3,0,"[0, 34, 86]",1,7,27,5,0.0,0.4644310176372528,0.28330233693122864
ZDT3,3,convergencia,3,3,0,"[0, 35, 90]",3,9,43,7,0.0,0.46331119537353516,0.2804183065891266
ZDT3,4,incerteza,3,3,0,"[0, 7, 17]",2,9,31,9,0.0,0.4673179090023041,0.2852363586425781
ZDT3,5,convergencia,3,3,0,"[0, 40, 90]",1,10,27,9,0.0,0.46332648396492004,0.2894861698150635
ZDT3,6,convergencia,3,3,0,"[0, 33, 82]",3,11,33,10,0.0,0.44330933690071106,0.29016754031181335
ZDT3,7,convergencia,3,3,0,"[0, 40, 82]",1,7,30,11,0.0,0.4511161744594574,0.2777712345123291
ZDT3,8,convergencia,3,3,0,"[0, 32, 67]",2,8,36,7,0.0,0.4595899283885956,0.2884973883628845
ZDT3,9,convergencia,3,3,0,"[0, 35, 85]",3,6,33,8,0.0,0.47575992345809937,0.28595101833343506
ZDT3,10,incerteza,3,3,0,"[0, 11, 14]",3,6,22,6,0.0,0.4610535204410553,0.2804996371269226
ZDT3,11,convergencia,3,3,0,"[0, 11, 53]",3,8,39,6,0.0,0.4635578691959381,0.2919250428676605
ZDT3,12,convergencia,3,3,0,"[0, 38, 83]",2,8,45,8,0.0,0.46686816215515137,0.2887670695781708
ZDT3,13,convergencia,3,3,0,"[0, 20, 64]",1,8,47,8,0.0,0.4514405131340027,0.286451131105423
ZDT3,14,incerteza,3,3,0,"[0, 1, 2]",3,8,42,8,0.0,0.46182820200920105,0.28870439529418945
ZDT3,15,incerteza,3,3,0,"[0, 2, 41]",3,8,31,8,0.0,0.46629253029823303,0.2898256480693817
ZDT3,16,convergencia,3,3,0,"[0, 34, 76]",1,8,39,8,0.0,0.45066413283348083,0.2879796624183655
ZDT3,17,convergencia,3,3,0,"[0, 47, 78]",1,9,61,8,0.0,0.4612793028354645,0.2845849096775055
ZDT3,18,incerteza,3,3,0,"[0, 1, 4]",3,9,37,9,0.0,0.4511168599128723,0.27887749671936035
ZDT3,19,convergencia,3,3,0,"[0, 48, 81]",1,11,46,9,0.0,0.45259326696395874,0.28398364782333374
ZDT3,20,convergencia,3,3,0,"[0, 49, 87]",2,11,43,11,0.0,0.4673140347003937,0.28830769658088684
ZDT3,21,convergencia,3,3,0,"[0, 58, 99]",1,11,43,11,0.0,0.463866263628006,0.28732556104660034
ZDT3,22,convergencia,3,3,0,"[0, 35, 77]",3,11,41,11,0.0,0.4625275731086731,0.28326499462127686
ZDT3,23,convergencia,3,3,0,"[0, 25, 70]",3,12,41,11,0.0,0.46042072772979736,0.29159480333328247
ZDT3,24,convergencia,3,3,0,"[0, 47, 91]",2,11,41,12,0.0,0.4602271318435669,0.2921428084373474
ZDT3,25,convergencia,3,3,0,"[0, 46, 89]",3,11,37,11,0.0,0.4590918719768524,0.28581634163856506
ZDT3,26,convergencia,3,3,0,"[0, 48, 78]",3,11,34,11,0.0,0.4705870449542999,0.2900610864162445
ZDT3,27,convergencia,3,3,0,"[0, 29, 83]",3,11,46,11,0.0,0.466397225856781,0.2864874303340912
ZDT3,28,incerteza,3,3,0,"[0, 1, 2]",3,12,36,11,0.0,0.46617358922958374,0.2866477966308594
ZDT3,29,convergencia,3,3,0,"[0, 24, 82]",3,12,41,12,0.0,0.4713299870491028,0.27844858169555664
ZDT3,30,incerteza,3,3,0,"[0, 25, 26]",3,12,34,12,0.0,0.467191606760025,0.29043278098106384
ZDT3,31,convergencia,3,3,0,"[0, 10, 59]",1,12,40,12,0.0,0.4601418972015381,0.2773101031780243
ZDT3,32,convergencia,3,3,0,"[0, 47, 83]",1,12,41,12,0.0,0.4674540162086487,0.2829791307449341
ZDT3,33,convergencia,3,3,0,"[0, 39, 87]",1,13,50,12,0.0,0.46769577264785767,0.2918407917022705
ZDT3,34,convergencia,3,3,0,"[0, 37, 63]",3,13,48,13,0.0,0.46683529019355774,0.288415789604187
ZDT3,35,convergencia,3,3,0,"[0, 26, 81]",3,13,46,13,0.0,0.45770686864852905,0.2863202691078186
ZDT3,36,convergencia,3,3,0,"[0, 17, 65]",3,13,44,13,0.0,0.4509396553039551,0.28359904885292053
ZDT3,37,convergencia,3,3,0,"[0, 30, 72]",3,13,46,13,0.0,0.45536547899246216,0.287719190120697
ZDT3,38,convergencia,3,3,0,"[0, 33, 95]",3,13,57,13,0.0,0.4588119387626648,0.28082239627838135
ZDT3,39,convergencia,3,3,0,"[0, 51, 99]",1,14,46,13,0.0,0.4662671685218811,0.2911418676376343
ZDT3,40,convergencia,3,3,0,"[0, 38, 82]",1,16,46,14,0.0,0.46450597047805786,0.2896156907081604
ZDT3,41,incerteza,3,3,0,"[0, 15, 23]",3,16,36,16,0.0,0.46031010150909424,0.2872793972492218
ZDT3,42,convergencia,3,3,0,"[0, 31, 77]",3,17,58,16,0.0,0.4668174088001251,0.2843906879425049
ZDT3,43,incerteza,3,3,0,"[0, 1, 62]",2,18,39,17,0.0,0.47213101387023926,0.2902923822402954
ZDT3,44,convergencia,3,3,0,"[0, 51, 97]",3,18,46,18,0.0,0.4852779805660248,0.29247167706489563
ZDT3,45,incerteza,3,3,0,"[0, 2, 9]",3,18,35,18,0.0,0.4582425057888031,0.2897685468196869
ZDT3,46,convergencia,3,3,0,"[0, 36, 81]",3,18,41,18,0.0,0.4712885618209839,0.28809815645217896
ZDT3,47,incerteza,3,3,0,"[0, 2, 53]",3,18,32,18,0.0,0.4685460329055786,0.28850194811820984
ZDT3,48,convergencia,3,3,0,"[0, 23, 65]",3,16,63,18,0.0,0.4575132727622986,0.2866417169570923
ZDT3,49,incerteza,3,3,0,"[0, 2, 39]",3,15,49,16,0.0,0.45725053548812866,0.28290924429893494
ZDT3,50,incerteza,3,3,0,"[0, 4, 25]",3,16,43,15,0.0,0.4529547393321991,0.2861050069332123
ZDT3,51,convergencia,3,3,0,"[0, 30, 72]",2,17,49,16,0.0,0.4576827883720398,0.2889476716518402
ZDT3,52,convergencia,3,3,0,"[0, 35, 85]",1,18,51,17,0.0,0.4739569127559662,0.2872568964958191
ZDT3,53,incerteza,3,3,0,"[0, 2, 24]",3,18,33,18,0.0,0.4526903033256531,0.2886244058609009
ZDT3,54,convergencia,3,3,0,"[0, 14, 65]",3,18,44,18,0.0,0.45648762583732605,0.28986185789108276
ZDT3,55,convergencia,3,3,0,"[0, 21, 67]",3,18,52,18,0.0,0.45674458146095276,0.2849274277687073
ZDT3,56,incerteza,3,3,0,"[0, 1, 14]",3,18,42,18,0.0,0.4549250900745392,0.281681090593338
ZDT3,57,convergencia,3,3,0,"[0, 43, 83]",1,18,53,18,0.0,0.48148202896118164,0.2948829233646393
ZDT3,58,incerteza,3,3,0,"[0, 7, 49]",3,17,42,18,0.0,0.4800025224685669,0.290022075176239
ZDT3,59,convergencia,3,3,0,"[0, 88, 99]",1,17,40,17,0.0,0.46827349066734314,0.2912577688694
ZDT3,60,convergencia,3,3,0,"[0, 53, 91]",3,17,57,17,0.0,0.45948266983032227,0.28221356868743896
ZDT3,61,convergencia,3,3,0,"[0, 20, 78]",3,19,47,17,0.0,0.46276921033859253,0.28537896275520325
ZDT3,62,convergencia,3,3,0,"[0, 20, 67]",1,19,40,19,0.0,0.45557084679603577,0.27835413813591003
ZDT3,63,convergencia,3,3,0,"[0, 38, 83]",3,19,47,19,0.0,0.46602457761764526,0.28767478466033936
ZDT3,64,convergencia,3,3,0,"[0, 10, 44]",1,18,49,19,0.0,0.45414823293685913,0.28970831632614136
