alg,label,problema,tier,dist,n7,n7_nd,fantasia,igdp7,hv7,igdp7nd,hv7nd
b5r,WFG1,WFG1,main,lhs,46,24,0.5217391304347826,0.6724410990913953,0.08906915235751418,0.6724410990913953,0.08906915235751418
b5r,WFG2,WFG2,main,lhs,42,12,0.2857142857142857,0.29278319328626284,0.27074913005961176,0.29278319328626284,0.27074913005961176
b5r,WFG4,WFG4,main,lhs,46,18,0.391304347826087,0.1272506756682024,0.17443725912578006,0.1272506756682024,0.17443725912578006
b5r,WFG5,WFG5,main,lhs,44,11,0.25,0.3981236002302757,0.07277272090415345,0.3981236002302757,0.07277272090415345
b5r,WFG9,WFG9,main,lhs,45,15,0.3333333333333333,0.3814484131886394,0.025384060795035777,0.3814484131886394,0.025384060795035777
b5r,ZDT1,ZDT1,main,lhs,47,18,0.3829787234042553,0.31492971084996063,0.35501325643722004,0.31492971084996063,0.35501325643722004
b5r,ZDT3,ZDT3,main,lhs,45,15,0.3333333333333333,1.3410369490301612,0.0,1.3410369490301612,0.0
b5r,ZDT4,ZDT4,main,lhs,12,4,0.3333333333333333,127.25029176693059,0.0,127.25029176693059,0.0
b5r,ZDT6,ZDT6,main,lhs,38,9,0.23684210526315788,3.4240902294118722,0.0,3.4240902294118722,0.0
b5r,swap_medium-lhs_DTLZ2,DTLZ2,medium,lhs,100,90,0.9,0.03412091276374354,0.716343012900833,0.03412091276374354,0.716343012900833
b5r,swap_medium-lhs_MMF16_20,MMF16_20,medium,lhs,88,58,0.6590909090909091,0.06630660776872828,0.6378168833494878,0.06630660776872828,0.6378168833494878
b5r,swap_medium-lhs_WFG9,WFG9,medium,lhs,44,12,0.2727272727272727,0.26408256159596083,0.055613460100460727,0.26408256159596083,0.055613460100460727
b5r,swap_medium-lhs_ZDT1,ZDT1,medium,lhs,48,7,0.14583333333333334,0.3293505882553668,0.26785924845592335,0.3293505882553668,0.26785924845592335
b5r,swap_medium-lhs_ZDT4,ZDT4,medium,lhs,8,2,0.25,147.9988858935588,0.0,147.9988858935588,0.0
b5r,swap_medium-mvns_DTLZ2,DTLZ2,medium,mvns,88,72,0.8181818181818182,0.14235330385163006,0.4504747360867461,0.14235330385163006,0.4504747360867461
b5r,swap_medium-mvns_MMF16_20,MMF16_20,medium,mvns,70,39,0.5571428571428572,0.17517362546937576,0.3994099822297582,0.17517362546937576,0.3994099822297582
