label,exp,tier,dist,problema,obj,wape,corr,cobertura95,n_validas_mu,n_nan_mu,n_sigma_valido,sigma_nan_share
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,2,0.014784239416382561,0.9988207983613236,0.9584,20000,0,20000,0.0
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,0,0.03198515526919514,0.9954075716976515,0.9082,20000,0,20000,0.0
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,1,0.09604050643191833,0.9820876987832174,0.86845,20000,0,20000,0.0
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,2,8.198509376197446e-05,0.9999999037594828,0.9997,20000,0,20000,0.0
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,0,0.49491150706096143,0.10232717780413193,1.0,20000,0,7178,0.6411
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,1,0.535871465345794,-0.0697627563108034,1.0,20000,0,7178,0.6411
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,0,2.744659420718201e-07,0.9999999999998345,1.0,20000,0,20000,0.0
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,1,0.02711703908147191,0.9421808328003449,0.9513257995420636,20000,0,13539,0.32304999999999995
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,0,9.189336983954382e-07,0.9999999999963026,1.0,20000,0,20000,0.0
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,1,0.15151961432443184,0.2072833897222063,0.9272180451127819,20000,0,6650,0.6675
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,0,0.10986750348053409,0.9822217350292185,0.96035,20000,0,20000,0.0
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,1,0.09146491332899781,0.985815980788908,0.89905,20000,0,20000,0.0
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,2,0.025392990932854187,0.9976680390234223,0.95335,20000,0,20000,0.0
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,0,0.14724134904920308,0.9627789452675602,0.94755,20000,0,20000,0.0
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,1,0.04850761640456093,0.9903927652847233,0.90205,20000,0,20000,0.0
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,2,0.02053696134551614,0.9944277127954617,0.91335,20000,0,20000,0.0
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,0,0.5591354770592144,0.03792354130412145,1.0,20000,0,8750,0.5625
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,1,0.40449478757279356,-0.12866155120685543,1.0,20000,0,3371,0.83145
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,0,1.3994891519288792e-07,0.9999999999999587,0.4779,20000,0,20000,0.0
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,1,0.003457435825068906,0.9998365730911474,0.36455,20000,0,20000,0.0
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,0,1.778954041421138e-07,0.9999999999999186,1.0,20000,0,20000,0.0
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,1,0.1621266475365555,0.1405625654888289,0.8883248730964467,20000,0,16351,0.18245
