label,exp,tier,dist,problema,D,M,N,I_eff,n_ger,status,motivo_parada,schema_version,repo_hash,campanha_id,u1_fe,u1_tempo_aval,u1_init,u1_fe_index,u1_N_esperado,u3_timing_linhas,u3_ger_51i,u10_nger,u10_denso,u10_ledger,u10_fases,u4_2blocos,u4_20000,u4_linhas,u4_ger_null,u8_fetreino,u9_cache,n_guard,n_retry,n_footer,guards,u11_pop_vazia,u11_rsid,n_sur,f3_monot,f3_passo,f3_ngps_folhas,f3_teto,cobertura_final,cob_completa,prof_max,I_max,pop_max,pop_min_1_50,c11_nacum,n_final,n_nd,u2_dx,u2_df,u2_hash,u2_doe,f1_bitid,f1_1000,u5_dx,f2_nan_1_50,f2_nan_build,f2_nan_final,f2_nan_sonda,n_sigma_valido_sonda,u12_nd,u12_link,u12_ratio,u12_osid_null,u7_viol,u7_igual,u7_sonda_linhas
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,147915,1,1,1,1,0.32345013477088946,0,2,4,100,10,4,99,79,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.043550961465379644,0.0007070643111927225,0.6763333333333333,19420,1,0.0,0.797979797979798,1,0,4,1
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,129316,1,1,1,1,0.7753303964757708,0,2,4,93,9,4,79,63,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.0803691480259137,0.00016579940822365066,0.22653333333333334,46408,1,0.0,0.7974683544303798,1,0,4,1
MMF1,off,small,lhs,MMF1,2,2,61,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,96581,1,1,1,1,1.0,1,2,4,50,3,4,50,9,1,1,0,1,1,1,1.1920928955078125e-07,1.0,0.16567208712516784,0.0,0.0,40000,1,0.0,0.18,1,0,4,1
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,95766,1,1,1,1,1.0,1,2,4,50,3,4,50,49,1,1,0,1,1,1,5.923211565672659e-08,1.0,0.07085120422302871,0.0,0.0,40000,1,0.0,0.98,1,0,4,1
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,145951,1,1,1,1,1.0,1,1,4,105,6,4,93,92,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.0747140760433109,0.0,0.0,60000,1,0.0,0.989247311827957,1,0,4,1
MMF4,off,small,lhs,MMF4,2,2,61,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,96911,1,1,1,1,1.0,1,2,4,50,4,4,50,25,1,1,0,1,1,1,5.960464477539063e-08,1.0,0.20083082652915055,0.0,0.0,40000,1,0.0,0.5,1,0,4,1
WFG1,off,small,lhs,WFG1,22,2,681,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,91522,1,1,1,1,0.671071953010279,0,2,4,50,3,4,50,22,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.060633759902498474,0.0,0.32735,26906,1,0.0,0.44,1,0,4,1
WFG2,off,small,lhs,WFG2,22,2,681,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,85401,1,1,1,1,0.41850220264317184,0,1,4,50,3,4,34,2,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.025864707682889503,0.00027015205701494844,0.5814,16744,1,0.0,0.058823529411764705,1,0,4,1
WFG4,off,small,lhs,WFG4,22,2,681,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,64810,1,1,1,1,0.6461086637298091,0,2,4,50,3,4,50,5,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.1191687871077184,0.00013361838588989844,0.3532,25872,1,0.0,0.1,1,0,4,1
WFG5,off,small,lhs,WFG5,22,2,681,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,95421,1,1,1,1,0.32305433186490456,0,2,4,50,6,4,50,1,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.04916886748485319,0.0005307855626326964,0.677025,12919,1,0.0,0.02,1,0,4,1
WFG9,off,small,lhs,WFG9,22,2,681,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,86154,1,1,1,1,0.33627019089574156,0,2,4,50,3,4,50,2,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.0443169968717414,9.452242544543692e-05,0.6411,14356,1,0.0,0.04,1,0,4,1
ZDT1,off,small,lhs,ZDT1,30,2,929,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,95114,1,1,1,1,0.8385360602798708,0,2,4,50,3,4,50,50,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.0559971098265896,0.00011093630239219009,0.161525,33539,1,0.0,1.0,1,0,4,1
ZDT3,off,small,lhs,ZDT3,30,2,929,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,94856,1,1,1,1,1.0,1,1,4,50,2,4,50,40,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.03274985883681536,0.0,0.0,40000,1,0.0,0.8,1,1,3,1
ZDT4,off,small,lhs,ZDT4,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,86240,1,1,1,1,0.6666666666666666,0,2,4,50,4,4,50,49,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.07682811016144349,0.003087248322147651,0.33375,26650,1,0.0,0.98,1,0,4,1
ZDT6,off,small,lhs,ZDT6,10,2,309,4,1204,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,97079,1,1,1,1,0.43527508090614886,0,2,4,50,4,4,50,2,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.030764075067024128,0.02975674640762611,0.56425,17430,1,0.0,0.04,1,0,4,1
