problema,D,M,geracao,n_treino,lote_log,nivel,ramo_QU,n_front1_log,n_front1_rec,n_front2_log,n_front2_rec,lote_rec,fit1max_log,fit1max_rec,fit1min_log,fit1min_rec,fit1med_log,fit1med_rec,fit2med_log,fit2med_rec,fit3med_log,fit3med_rec,Qmin_log,Qmin_rec,Qmax_log,Qmax_rec,Umin_log,Umin_rec,Umax_log,Umax_rec,Upool_log,Upool_rec,s0_obsmax,s0_eq,s0_corr,s0_int,s0_max_teorico,s1_relmed,s1_relmed_ddof0,dmu_max,dmu_med,dmu_med_rel,rcond,solved,n_pool,fe_treino_max,hp_n
BBOB_F1,10,2,25,189,4,3,True,146,151,22,22,4,0.0101686617556625,0.010168645331408932,0.0002258731632409916,0.00022586902681248633,0.005664014684524821,0.005664018588071702,0.9510814553675075,0.9512008954177857,0.004565708150640561,0.004565718579476947,26.0,25,45.0,45,2.0,2,42.0,42,370,370,370.0,0.825,0.9992595963617182,1.0,398,0.0005888878552379126,0.18366137812637853,0.14926868013107253,0.005602241403902752,0.00027276820478178626,1.383657017870051e-06,True,200,188,189
BBOB_F1,10,2,26,193,5,3,True,143,149,19,18,5,0.012275847254296451,0.012275849271981026,0.00035771496028552674,0.0003577097314767519,0.006012307528447711,0.006168189887650395,0.7996536275365429,0.8123076857736762,0.003288534933676295,0.0032350154096248847,23.0,22,38.0,37,4.0,4,34.0,32,348,348,348.0,0.8,0.9993901069199436,1.0,398,0.0005159524578805465,0.18368889305537367,0.23781031634163385,0.0059217860542579714,0.00028432610513781295,1.0505803735228171e-06,True,200,192,193
BBOB_F1,10,2,27,198,4,3,True,155,160,18,17,4,0.009446324648060722,0.008046434859865559,0.00033739107067502945,0.00033739206902590885,0.004538093384835767,0.0032671026027616124,0.8108557312550664,0.8022438039023456,0.002803622552311558,0.0031925130470761356,22.0,21,34.0,33,8.0,8,32.0,30,384,384,384.0,0.77,0.9995959182306726,1.0,398,0.0004829517122142992,0.18369928475125108,0.20330677460318092,0.0055138569531869575,0.0002666398783918778,5.882370459865954e-07,True,200,197,198
BBOB_F1,10,2,28,201,5,3,True,141,146,13,22,5,0.013877039805071906,0.010172045880767477,0.0006225460853582776,0.0011462245238305774,0.005536818659326419,0.005888667442278724,0.9338909475503154,1.0000000000015126,0.003808237129523743,0.0038722917396676456,16.0,26,27.0,42,2.0,6,24.0,42,386,374,386.0,0.05,0.9078883438314845,1.0,398,0.004623507064145052,0.18356898576205014,0.218399938584374,0.006109243523668262,0.0002961022259402802,4.2555773774514865e-07,True,200,200,202
BBOB_F1,10,2,29,206,2,3,True,152,160,11,9,2,0.008377409018905158,0.008213630602306676,0.00017998477910757815,0.00017998042561762073,0.004276656572929888,0.004012404391732172,0.7403862588173764,0.6373305608157493,0.0019297987094378504,0.0019560595278601085,13.0,11,22.0,18,2.0,6,18.0,16,390,390,390.0,0.795,0.9995352784663154,1.0,398,0.0003612155844188633,0.18363330830898233,0.3037821457425247,0.0038184653123920498,0.00018597498686717272,4.1936160976219135e-07,True,200,205,206
BBOB_F1,10,2,30,208,3,3,True,160,163,11,11,3,0.009954890821368342,0.00995489108229454,0.0015148675317516735,0.0015148596219159288,0.003640277835025768,0.003640281351177055,0.7965618031225876,0.7964788466837203,0.0023948033557238055,0.0023947949143214462,13.0,13,22.0,22,6.0,6,20.0,20,392,392,392.0,0.795,0.999059512123752,1.0,398,0.0003341660459580311,0.183673200078877,0.20317611972150973,0.0038136197024702945,0.00018568178787129773,4.170740031457951e-07,True,200,207,208
BBOB_F1,10,2,31,211,2,3,True,162,164,30,27,2,0.010666185696385777,0.010666184870267603,3.988401594243185e-05,3.988720278617908e-05,0.00459709206208031,0.0039650418835448144,0.9663771461946231,0.9207339283591367,0.0026714800195166287,0.002638235766507789,34.0,31,60.0,54,12.0,6,58.0,52,384,384,384.0,0.815,0.9989951725045698,1.0,398,0.0002947473335118192,0.1836831732275293,0.17459389986781737,0.003285931457440938,0.00015998911151128998,3.7742842864643694e-07,True,200,210,211
BBOB_F1,10,2,32,212,4,3,True,154,164,18,19,6,0.011556655594137183,0.011556661554009418,0.0005475633410530721,0.0005475656181208217,0.0043961270099033,0.004471926482037203,0.9039153740555701,1.0000000000005709,0.0029053389908371323,0.003119502765729759,23.0,25,36.0,37,10.0,10,34.0,36,384,382,384.0,0.12,0.9327550137439786,1.0,398,0.004511971046422828,0.18340756050933676,0.13760271921204903,0.0029866096007278298,0.00014388260931416107,3.6351959647832975e-07,True,200,211,213
BBOB_F1,10,2,33,216,3,3,True,157,157,18,19,3,0.011726129511440697,0.01172612640520021,0.00019367598304265154,0.00019371328218698025,0.0044268764367089986,0.004759625360261487,0.8465629639425893,0.8813909461890536,0.002651251861429807,0.002662612098950343,24.0,25,34.0,36,2.0,4,32.0,34,398,396,398.0,0.755,0.9947527857433968,1.0,398,0.0003700966420320172,0.18366815961115218,0.15557613025715833,0.003978278417879899,0.00019161327170146247,3.5392320988458417e-07,True,200,215,216
BBOB_F1,10,2,34,219,2,3,True,144,155,17,17,3,0.010218789686244248,0.010218790328575783,0.0007417116877420915,0.0007417151628975605,0.002683915484697791,0.0033667009830243393,0.8197668661074644,0.8209082675200339,0.0032068173574514485,0.0032067957561389576,21.0,21,34.0,34,4.0,6,32.0,32,396,396,396.0,0.825,0.9984695210813112,1.0,398,0.0002956587098363019,0.18365954742007082,0.30819138583971273,0.0030004918765431654,0.00014609130946353972,3.2941503563527787e-07,True,200,218,219
